人口総数,"15歳未満人口","15〜64歳人口","65歳以上人口",出生数,死亡数,転入者数,転出者数,昼間人口,"高齢単身世帯数",婚姻件数,離婚件数,政府統計の総合窓口より2012年の人口状況
220189,22250,156677,41250,1580,1571,20833,17874,390438,11338,1596,576,札幌市中央区　　　　
278781,34185,187505,55946,2052,2057,15572,15260,257035,11001,1392,638,　北区　　　　　
255873,31210,174326,49369,2221,1860,15243,15130,235844,11048,1670,644,　東区　　　　　
204259,23698,140875,38818,1831,1581,14138,13850,197648,9095,1645,590,　白石区　　　　
212118,23513,145007,42734,1721,1540,15799,14858,184847,10232,1539,527,　豊平区　　　　
146341,15622,92635,37555,871,1362,6917,7810,128940,7167,630,255,　南区　　　　　
211229,24804,140434,45299,1685,1654,12024,11712,183528,9497,1231,508,　西区　　　　　
128492,15364,84942,28185,819,934,7008,6986,115493,5147,512,281,　厚別区　　　　
139644,17447,92107,30087,953,1091,6808,6060,109322,4450,612,320,　手稲区　　　　
116619,16119,77805,22553,773,856,5487,5001,90851,2873,398,256,　清田区　　　　
279127,30474,171405,76637,1889,3322,9440,10334,303878,17501,1427,642,函館市　　　　
131928,13105,77215,41607,729,1752,3474,4365,143387,9174,504,261,小樽市　　　　
347095,40260,213269,91937,2529,3422,11091,11421,354162,18053,1796,785,旭川市　　　　
94535,10484,56279,27699,618,1169,3629,3948,106546,6326,437,198,室蘭市　　　　
181169,21772,113635,45737,1378,1878,6701,7765,191420,9330,970,460,釧路市　　　　
168057,21472,109040,37544,1429,1351,7745,7578,177579,7205,1037,402,帯広市　　　　
125689,15283,78202,31872,898,1098,4457,4692,129169,5612,615,303,北見市　　　　
10922,719,5417,4786,46,214,273,507,13262,1248,28,14,夕張市　　　　
90145,10253,54834,25032,556,949,2983,3228,90065,4371,399,169,岩見沢市　　　
40998,5061,26578,9324,342,373,1956,2132,43106,1672,212,79,網走市　　　　
24457,2751,14807,6899,217,278,1115,1458,27301,1362,118,55,留萌市　　　　
173320,23476,113284,36515,1591,1464,5963,5937,172885,7277,1038,491,苫小牧市　　　
39595,4807,25125,9663,309,388,1735,2010,41781,1820,206,98,稚内市　　　　
26034,2573,14887,8555,118,391,719,979,28692,1734,95,46,美唄市　　　　
16628,1429,8791,6407,78,275,393,506,18457,1319,64,21,芦別市　　　　
123722,15041,81565,27008,683,986,4788,4945,112327,4334,412,246,江別市　　　　
12637,1072,6655,4909,57,249,255,453,14490,1010,36,22,赤平市　　　　
24750,2774,14855,7103,137,299,939,1132,26759,1461,113,72,紋別市　　　　
21787,2584,12069,7134,133,278,639,925,23386,1153,68,30,士別市　　　　
30591,3767,18597,8227,255,320,1392,1651,31868,1426,173,69,名寄市　　　　
10221,773,5121,4327,36,228,242,362,12263,1075,35,13,三笠市　　　　
29201,3565,17899,7732,224,332,877,1207,31479,1292,158,68,根室市　　　　
93604,13883,63261,16293,910,651,5247,5285,96531,2852,708,231,千歳市　　　　
43170,5132,26067,11912,347,482,1865,2167,45724,2242,218,92,滝川市　　　　
19056,2147,10977,5932,124,237,695,771,20593,1233,76,32,砂川市　　　　
4387,337,2242,1808,15,74,119,212,4697,418,11,5,歌志内市　　　
23709,2295,13128,8284,120,321,756,907,26388,1330,88,38,深川市　　　　
24259,3155,14591,6512,159,291,940,1040,25911,998,107,46,富良野市　　　
51526,6086,30802,14612,333,604,2111,2223,45994,2585,232,123,登別市　　　　
69384,9690,45110,14427,553,504,3001,2931,63123,2082,315,150,恵庭市　　　　
36278,4276,20959,11040,277,461,1264,1408,35545,1864,157,74,伊達市　　　　
60353,8083,38693,13547,407,493,2400,2471,56817,1825,201,110,北広島市　　　
59449,8063,37624,13761,411,555,2309,2249,61230,1874,234,158,石狩市　　　　
